"Kalalaji","Ennätys","Päivämäärä","Kunta","Pyyntitapa"
"ahven","2,87 kg",<span class="hidden">2010.09.04</span>4.9.2010,"Kökar","virveli"
"allikkosalakka","7,8 cm",<span class="hidden">2012.08.20</span>20.8.2012,"Helsinki","rysä"
"ankerias","4,666 kg",<span class="hidden">2009.05.16</span>16.5.2009,"Hämeenlinna","rysä"
"elaska","26,3 cm",<span class="hidden">2005.01.24</span>24.1.2005,"Pori","trooli"
"harjus","2,47 kg",<span class="hidden">2011.04.13</span>13.4.2011,"Utsjoki","pilkki jäältä"
"härkäsimppu (meri)","0,924 kg",<span class="hidden">2009.05.19</span>19.5.2009,"Ii","verkko"
"härkäsimppu (sisävedet)","15,6 cm",<span class="hidden">2012.04.23</span>23.4.2012,"Helsinki","onki"
"hauki","18,8 kg",<span class="hidden">2010.09.13</span>13.9.2010,"Helsinki","onki"
"hietatokko","6,9 cm",<span class="hidden">2012.01.07</span>7.1.2012,"Inkoo","verkko"
"hopearuutana","3,497 kg",<span class="hidden">2005.10.29</span>29.10.2005,"Kuopio","verkko"
"imukala","0,150 kg",<span class="hidden">2005.03.28</span>28.3.2005,"Pori","trooli"
"isosimppu","0,71 kg",<span class="hidden">2012.05.06</span>6.5.2012,"Rymättylä","verkko"
"isotuulenkala","31,0 cm",<span class="hidden">2007.06.24</span>24.6.2007,"Pori","rysä"
"jokirapu","16,5 cm",<span class="hidden">2001.06.03</span>3.6.2001,"Kemiö","verkko"
"kampela","1,06 kg",<span class="hidden">2004.04.24</span>24.4.2004,"Lohja","tuulastus"
"kapeasaksirapu","13,7 cm",<span class="hidden">2002.01.01</span>1.1.2002,"Rovaniemen mlk","verkko"
"karppi","21,44 kg",<span class="hidden">2005.03.28</span>28.3.2005,"Pori","trooli"
"kiiski","0,285 kg",<span class="hidden">2004.08.19</span>19.8.2004,"Simo","sähkökalastus"
"kilohaili","15,6 cm",<span class="hidden">2008.12.06</span>6.12.2008,"Sulkava","verkko"
"kirjoeväsimppu","12,8 cm",<span class="hidden">2007.09.28</span>28.9.2007,"Konnevesi","sähkökalastus"
"kirjolohi","9,66 kg",<span class="hidden">2002.06.04</span>4.6.2002,"Pori","verkko"
"kivennuoliainen","18,7 cm",<span class="hidden">2007.09.27</span>27.9.2007,"Espoo","sähkökalastus"
"kivinilkka","0,485 kg",<span class="hidden">2011.06.15</span>15.6.2011,"Parainen","rysä"
"kivisimppu","13,6 cm",<span class="hidden">2009.01.12</span>12.1.2009,"Lahti","verkko"
"kolmipiikki","9,4 cm",<span class="hidden">2007.04.23</span>23.4.2007,"Kotka","verkko"
"kuha","13,74 kg",<span class="hidden">2006.06.13</span>13.6.2006,"Kuusamo","katiska"
"kuore","0,26 kg",<span class="hidden">2003.06.07</span>7.6.2003,"Imatra","verkko"
"kymmenpiikki","11,5 cm",<span class="hidden">2005.06.08</span>8.6.2005,"Hanko","nuotta"
"lahna","7,45 kg",<span class="hidden">2002.10.15</span>15.10.2002,"Kangasniemi","verkko"
"liejutaskurapu","2,54 cm",<span class="hidden">2001.06.09</span>9.6.2001,"Lohtaja","loukku"
"liejutokko","4,6 cm",<span class="hidden">2008.01.26</span>26.1.2008,"Pulkkila","pilkki jäältä"
"lohi (järvilohi)","12,4 kg",<span class="hidden">2010.10.17</span>17.10.2010,"Piikkiö","verkko"
"lohi (merilohi)","27,4 kg",<span class="hidden">2007.07.27</span>27.7.2007,"Kotka","rysä"
"made","8,04 kg",<span class="hidden">2010.04.08</span>8.4.2010,"Joutseno","verkko"
"makrilli","0,591 kg",<span class="hidden">2004.10.01</span>1.10.2004,"Inari","verkko"
"meribassi","0,46 kg",<span class="hidden">2007.06.05</span>5.6.2007,"Korppoo","onki"
"miekkasärki","0,91 kg",<span class="hidden">2010.05.21</span>21.5.2010,"Helsinki","onki"
"muikku","0,550 kg",<span class="hidden">2004.05.28</span>28.5.2004,"Pello","sumppu"
"mustatäplätokko","0,160 kg",<span class="hidden">2011.12.17</span>17.12.2011,"Harjavalta","rysä"
"mustatokko","10,7 cm",<span class="hidden">2009.06.21</span>21.6.2009,"Kesälahti","uistelu"
"mutu","12,3 cm",<span class="hidden">2009.05.28</span>28.5.2009,"Parainen","rysä"
"nahkiainen","46,6 cm",<span class="hidden">2003.06.05</span>5.6.2003,"Pedersöre","onki"
"nieriä","6,51 kg",<span class="hidden">2001.05.25</span>25.5.2001,"Porvoo","verkko"
"nokkakala","1,07 kg",<span class="hidden">2001.07.16</span>16.7.2001,"Janakkala","katiska"
